Rank,Name,Meet,Time,Time in Seconds,Flags
10,Emma Merkel,GCC v Calvin,28.32,28.32,
11,Lynda Steen,MIAA Championships,28.38,28.38,X
12,Abby Merz,Calvin Wayne State,28.70,28.7,X
13,Grace Carpenter,Calvin Winter Invitational,28.73,28.73,X
14,Milana Srbinovski,MIAA Championships,28.97,28.97,
15,Kaelin Kelley,Calvin v Albion v Alma,29.06,29.06,X
16,Elizabeth Dylewski,MIAA Championships,29.54,29.54,
17,Katie Phippen,Calvin Wayne State,29.90,29.9,X
18,Kailee Turner,MIAA Championships,30.61,30.61,
19,Ashley Sap,Calvin Winter Invitational,31.85,31.85,X
20,Maya Bedford,Calvin Wayne State,32.58,32.58,X
21,Natalie Vroon,Calvin Wayne State,33.33,33.33,X
1,Julien Camy,NCAA Division III Championship,46.44,46.44,
2,Forrest Peterson,MIAA Championships,47.71,47.71,D3 B
3,David Bajwa,MIAA Championships,47.83,47.83,D3 B
4,Corey Campbell,MIAA Championships,49.82,49.82,
5,Austin Martinson,MIAA Championships,49.87,49.87,
6,Vlad Molin,MIAA Championships,50.68,50.68,
7,Jazz Widney,Calvin Winter Invitational,50.69,50.69,
